dataset,image,perturbation_type,perturbation,mask_iou,skeleton_f1,junction_repeatability,valid_fraction
FIMD,41_t.jpg,photometric,gaussian_blur,0.705859283081026,0.8404607820530496,0.6372103379176872,1.0
FIMD,41_t.jpg,affine,rotate_minus10_translate,0.8387340301974449,0.9440172863591864,0.7411545691150954,0.9226226806640625
FIMD,41_t.jpg,affine,rotate_plus10_translate,0.8282902781282145,0.9395318580730336,0.7216261411353755,0.9226226806640625
FIMD,41_t.jpg,affine,scale_095,0.8733756306375172,0.9633049766244902,0.733132920173897,1.0
FIMD,41_t.jpg,affine,scale_105,0.8717813670411985,0.9761827645756256,0.7618285714285715,0.908447265625
FIMD,42_r.jpg,photometric,brightness_minus30,0.9852524404324551,0.9978364666623496,0.9541438579341806,1.0
FIMD,42_r.jpg,photometric,brightness_plus30,0.9815967994433814,0.9972524448410782,0.9361290322580644,1.0
FIMD,42_r.jpg,photometric,contrast_070,0.8678026779916818,0.9543369558259158,0.7485608315845982,1.0
FIMD,42_r.jpg,photometric,contrast_130,0.9569827017704053,0.9913670467286559,0.8876593233674273,1.0
FIMD,42_r.jpg,photometric,gaussian_blur,0.5710848874372212,0.7351343306310383,0.5503385105535643,1.0
FIMD,42_r.jpg,affine,rotate_minus10_translate,0.8157236717308455,0.929771238458003,0.7038487208008899,0.9226226806640625
FIMD,42_r.jpg,affine,rotate_plus10_translate,0.8348685456517622,0.9415003639620898,0.742713247481831,0.9226226806640625
FIMD,42_r.jpg,affine,scale_095,0.8536013855401229,0.9493079727744724,0.7204609658331742,1.0
FIMD,42_r.jpg,affine,scale_105,0.8287939101892591,0.9556328726730169,0.722424212980956,0.908447265625
FIMD,43_r.jpg,photometric,brightness_minus30,0.9859339059061046,0.9978461996760739,0.9562933151275932,1.0
FIMD,43_r.jpg,photometric,brightness_plus30,0.9654966609671903,0.9938468879527662,0.9138044748006013,1.0
FIMD,43_r.jpg,photometric,contrast_070,0.8704161345429817,0.9609406415870504,0.7350279114922535,1.0
FIMD,43_r.jpg,photometric,contrast_130,0.9616425120772947,0.9927595185906278,0.9023176505276744,1.0
FIMD,43_r.jpg,photometric,gaussian_blur,0.6046754885520265,0.7557841904710955,0.6010682284470126,1.0
FIMD,43_r.jpg,affine,rotate_minus10_translate,0.8433988536640653,0.9457224676944043,0.7360688672482307,0.9226226806640625
FIMD,43_r.jpg,affine,rotate_plus10_translate,0.8428718575980945,0.9460130602728039,0.7291169451073986,0.9226226806640625
FIMD,43_r.jpg,affine,scale_095,0.8510928961748634,0.9506981644939144,0.7449026963365466,1.0
FIMD,43_r.jpg,affine,scale_105,0.8358371040723982,0.9565197922122142,0.7525118404293469,0.908447265625
FIMD,43_t.jpg,photometric,brightness_minus30,0.9601718532280539,0.9946481866740807,0.9104955328359583,1.0
FIMD,43_t.jpg,photometric,brightness_plus30,0.9801617579734473,0.9974717647027956,0.9330241307732227,1.0
FIMD,43_t.jpg,photometric,contrast_070,0.8739887510594037,0.9711634045990306,0.7857042210994585,1.0
FIMD,43_t.jpg,photometric,contrast_130,0.9747557939092127,0.9959952040373979,0.935412701568995,1.0
FIMD,43_t.jpg,photometric,gaussian_blur,0.7852147472443938,0.8948861625276989,0.6910983869136955,1.0
FIMD,43_t.jpg,affine,rotate_minus10_translate,0.8665107125617318,0.9541523643694713,0.7587954789509128,0.9226226806640625
FIMD,43_t.jpg,affine,rotate_plus10_translate,0.8054867593827396,0.9249893936537518,0.7212785504158563,0.9226226806640625
FIMD,43_t.jpg,affine,scale_095,0.8780443606842563,0.9666659708273923,0.75844388262364,1.0
FIMD,43_t.jpg,affine,scale_105,0.8353607222094713,0.959336461216578,0.740418118466899,0.908447265625
FIMD,45_t.jpg,photometric,brightness_minus30,0.9855055402681108,0.9971350737893612,0.9517460122936809,1.0
FIMD,45_t.jpg,photometric,brightness_plus30,0.9829930973711265,0.996599761283838,0.942525103058098,1.0
FIMD,45_t.jpg,photometric,contrast_070,0.9012971698113208,0.9708836218015365,0.7769746121297603,1.0
FIMD,45_t.jpg,photometric,contrast_130,0.9647775956755513,0.9925430344035833,0.8985264557332417,1.0
FIMD,45_t.jpg,photometric,gaussian_blur,0.7908999911678982,0.8935739277670788,0.6897669589293955,1.0
FIMD,45_t.jpg,affine,rotate_minus10_translate,0.874860909013096,0.9511794582201129,0.7754042851667187,0.9226226806640625
FIMD,45_t.jpg,affine,rotate_plus10_translate,0.8832671909950213,0.9536733351822008,0.7697702813981884,0.9226226806640625
FIMD,45_t.jpg,affine,scale_095,0.8763807319129479,0.9606174352394348,0.749077809903211,1.0
FIMD,45_t.jpg,affine,scale_105,0.8838673967028693,0.9704067810925431,0.7573572411420708,0.908447265625
FIMD,49_t.jpg,photometric,brightness_minus30,0.9601718532280539,0.9946481866740807,0.9104955328359583,1.0
